id,Colonia,Delitos,latitude,longitude
200,BARRIO EL TRUENITO,3,19.2781115006014,-99.1672811003919
201,BARRIO LA ASUNCIÓN,31,19.2708057980802,-99.1006582998763
202,BARRIO LA CONCEPCIÓN,80,19.3449372837762,-99.1580303678805
203,BARRIO LA CONCEPCIÓN TLACOAPA,11,19.2676569585937,-99.1034553262133
204,BARRIO LA FAMA,20,19.292372295712,-99.177211499693
205,BARRIO LA LONJA,10,19.2903909417466,-99.1812292739695
206,BARRIO LA SANTÍSIMA,8,19.2637001053468,-99.0945630899617
207,BARRIO LAS CRUCES,6,19.2396084891886,-99.0742995189685
208,BARRIO LOS REYES,6,19.2411528248501,-99.0526114528005
209,BARRIO NORTE,113,19.3790273,-99.2043778
210,BARRIO OXTOPULCO UNIVERSIDAD,140,19.3457108984423,-99.1792932000498
211,BARRIO SAN AGUSTIN,4,19.2264082023787,-98.9669495719904
212,BARRIO SAN ANDRÉS,13,19.2517294330268,-99.0486241476341
213,BARRIO SAN ANTONIO,39,19.26311919249,-99.1075275028579
214,BARRIO SAN CRISTÓBAL,17,19.2604109916147,-99.0995350635654
215,BARRIO SAN DIEGO,10,19.2636996511613,-99.1006953607754
216,BARRIO SAN ESTEBAN,23,19.26442075,-99.09838133
217,BARRIO SAN FERNANDO,18,19.29896783,-99.17939866
218,BARRIO SAN FRANCISCO,34,19.3141849,-99.2302217
219,BARRIO SAN JOSÉ,6,19.2551753764495,-99.0361579820228
220,BARRIO SAN JUAN,26,19.2652694619043,-99.1058746045061
221,BARRIO SAN JUAN MINAS,7,19.251401873211,-99.0657874045231
222,BARRIO SAN JUAN MOYOTEPEC,10,19.2564314007086,-99.0729658999323
223,BARRIO SAN LORENZO,11,19.2647962961255,-99.0965398999748
224,BARRIO SAN LUCAS,34,19.3492548665443,-99.1538119818411
225,BARRIO SAN MIGUEL,8,19.30749672,-98.96864209
226,BARRIO SAN PEDRO,77,19.2592969804859,-99.1079403732351
227,BARRIO SAN SEBASTIÁN,21,19.25765508,-99.0065693
228,BARRIO SANTA CATARINA,93,19.34734798,-99.17268983
229,BARRIO SANTA CRUCITA,23,19.2622467883022,-99.1011025243272
230,BARRIO SANTIAGO,7,19.3129461476467,-98.9660373530479
